date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:20	44620/44620	---M-Z	200	added ('OK')	text/html	etag:%22ae4c-586513e8611c0-gzip%22	https://preview.locotheme.com/grandium-html/index.html	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/index.html	(from )
19:03:21	284/284	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2018:03:19%20GMT	https://preview.locotheme.com/robots.txt		(from )
19:03:21	22109/22109	---M--	200	added ('OK')	image/png	etag:%22565d-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/favicon.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/favicon.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:21	23578/23578	---M--	200	added ('OK')	image/png	etag:%225c1a-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/apple-touch-icon.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/apple-touch-icon.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:21	22864/22864	---M--	200	added ('OK')	image/png	etag:%225950-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-76x76.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-76x76.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:22	24971/24971	---M--	200	added ('OK')	image/png	etag:%22618b-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-120x120.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-120x120.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:22	27384/27384	---M--	200	added ('OK')	image/png	etag:%226af8-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-152x152.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-152x152.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:22	23578/23578	---M--	200	added ('OK')	image/png	etag:%225c1a-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-180x180.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-180x180.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:22	28609/28609	---M--	200	added ('OK')	image/png	etag:%226fc1-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-167x167.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/apple-touch-icon-167x167.png	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:23	121265/121265	---M-Z	200	added ('OK')	text/css	etag:%221d9b1-5394623e11200-gzip%22	https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css	(from https://preview.locotheme.com/grandium-html/index.html)
